latitude,longitude,new_order,building_name,building_address,list_subdata_1_title,list_subdata_1,data_1_title,data_1,data_2_title,data_2,data_3_title,data_3,data_4_title,data_4,data_5_title,data_5,data_6_title,data_6,data_7_title,data_7,image_name
33.5071832,-112.0318115,89,Camelback Center,"2355 E Camelback Rd Phoenix, AZ, 85016-3458",Available SF,"250,170",Rentable Building Area,"250,170",Available SF,"250,170",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5081405,-112.0318603,90,24th At Camelback,"2375 E Camelback Rd Phoenix, AZ, 85016-3424",Available SF,"302,209",Rentable Building Area,"302,209",Available SF,"302,209",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,http://reap.cassidyturley.com//filecabinet/cass438970/Property/019182/24th%20at%20Camelback%20main%20pic.JPG
33.5097952,-112.0318964,91,Biltmore Center I,"2390 E Camelback Rd Phoenix, AZ, 85016-3448",Available SF,"211,624",Rentable Building Area,"211,624",Available SF,"211,624",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5108065,-112.0317504,92,Biltmore Center III,"2394 E Camelback Rd Phoenix, AZ, 85016-3429",Available SF,"135,350",Rentable Building Area,"135,350",Available SF,"135,350",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5100479,-112.0308914,93,Biltmore Center II,"2398 E Camelback Rd Phoenix, AZ, 85016-9001",Available SF,"288,435",Rentable Building Area,"288,435",Available SF,"288,435",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.508077,-112.028804,94,Esplanade III,"2415 E Camelback Rd Phoenix, AZ, 85016-4288",Available SF,"218,387",Rentable Building Area,"218,387",Available SF,"218,387",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5087403,-112.0281525,95,Esplanade I,"2425 E Camelback Rd Phoenix, AZ, 85016-4200",Available SF,"235,077",Rentable Building Area,"235,077",Available SF,"235,077",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5087668,-112.0271558,96,Camelback Esplanade II,"2525 E Camelback Rd Phoenix, AZ, 85016-4219",Available SF,"235,077",Rentable Building Area,"235,077",Available SF,"235,077",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5090218,-112.0261218,97,Camelback Esplanade V,"2555 E Camelback Rd Phoenix, AZ, 85016-9256",Available SF,"235,773",Rentable Building Area,"235,773",Available SF,"235,773",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.508257,-112.025994,98,Camelback Esplanade IV,"2575 E Camelback Rd Phoenix, AZ, 85016-4240",Available SF,"264,267",Rentable Building Area,"264,267",Available SF,"264,267",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.510274,-112.0233113,99,Camelback Lakes | 2710 Bldg,"2710 E Camelback Rd Phoenix, AZ, 85016-4372",Available SF,"30,848",Rentable Building Area,"30,848",Available SF,"30,848",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5103398,-112.0227892,100,2720 Bldg,"2720 E Camelback Rd Phoenix, AZ, 85016-4340",Available SF,"33,758",Rentable Building Area,"33,758",Available SF,"33,758",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5103849,-112.0223291,101,2730 Bldg,"2730 E Camelback Rd Phoenix, AZ, 85016-4343",Available SF,"28,755",Rentable Building Area,"28,755",Available SF,"28,755",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5089131,-112.0220016,102,,"2777 E Camelback Rd Phoenix, AZ, 85016-4347",Available SF,"104,618",Rentable Building Area,"104,618",Available SF,"104,618",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5105944,-112.0211764,103,2850 Bldg,"2850 E Camelback Rd Phoenix, AZ, 85016-4311",Available SF,"136,540",Rentable Building Area,"136,540",Available SF,"136,540",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5094534,-112.019129,104,,"2901 E Camelback Rd Phoenix, AZ, 85016-4431",Available SF,"22,172",Rentable Building Area,"22,172",Available SF,"22,172",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5094359,-112.0180671,105,Royal Biltmore,"2929 E Camelback Rd Phoenix, AZ, 85016-4424",Available SF,"76,974",Rentable Building Area,"76,974",Available SF,"76,974",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5095144,-112.01641,106,Plaza 3001,"3001 E Camelback Rd Phoenix, AZ, 85016-4433",Available SF,"26,000",Rentable Building Area,"26,000",Available SF,"26,000",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.510999,-112.0166762,107,,"3020 E Camelback Rd Phoenix, AZ, 85016-4417",Available SF,"79,938",Rentable Building Area,"79,938",Available SF,"79,938",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.510492,-112.016656,108,,"3030 E Camelback Rd Phoenix, AZ, 85016-4404",Available SF,"28,094",Rentable Building Area,"28,094",Available SF,"28,094",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.509315,-112.01349,109,,"3131 E Camelback Rd Phoenix, AZ, 85016-4500",Available SF,"196,332",Rentable Building Area,"196,332",Available SF,"196,332",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5080371,-112.0134417,110,,"3133 E Camelback Rd Phoenix, AZ, 85016-4538",Available SF,"99,069",Rentable Building Area,"99,069",Available SF,"99,069",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.510782,-112.012174,111,Biltmore Commerce Center,"3200 E Camelback Rd Phoenix, AZ, 85018-2311",Available SF,"259,730",Rentable Building Area,"259,730",Available SF,"259,730",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5095347,-112.0094161,112,Biltmore Talon Center,"3333 E Camelback Rd Phoenix, AZ, 85018-2322",Available SF,"96,248",Rentable Building Area,"96,248",Available SF,"96,248",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
33.5108664,-111.9975266,113,3900 Camelback Center,"3900 E Camelback Rd Phoenix, AZ, 85018",Available SF,"177,520",Rentable Building Area,"177,520",Available SF,"177,520",Building Status,,Delivery Date,,Submarket,,Developer,,Leasing Company,,
